Year,Industry_Section,Industry,Accident_Kind,Total_NonFatal,Specified_Injuries,Over7Day_Injuries,Pct_Total,Pct_Specified,Pct_Over7Day,Severity,Year_Clean,Industry_Short
2014/15,D,"Electricity, gas, steam and air conditioning supply",Trapped by something collapsing/overturning,2,1,1,[k],[k],[k],Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply","Exposure to, or contact with, a harmful substance",3,1,2,[k],[k],[k],Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Exposure to fire,4,0,4,0.01,0,0.02,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Exposure to an explosion,1,0,1,[k],0,[k],Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Contact with electricity or electrical discharge,4,1,3,0.01,[k],0.01,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Injured by an animal,4,0,4,0.01,0,0.02,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Acts of violence,1,0,1,[k],0,[k],Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Other kind of accident,28,7,21,0.09,0.06,0.1,Non-Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Contact with moving machinery,64,28,36,0.03,0.05,0.02,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities","Struck by moving, including flying/falling, object",237,85,152,0.11,0.16,0.09,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Struck by moving vehicle,109,41,68,0.05,0.07,0.04,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Strike against something fixed or stationary,80,19,61,0.04,0.03,0.04,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities","Injured while handling, lifting or carrying",637,38,599,0.28,0.07,0.35,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities","Slips, trips or falls on same level",681,210,471,0.3,0.38,0.28,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Falls from a height,181,76,105,0.08,0.14,0.06,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Trapped by something collapsing/overturning,11,10,1,[k],0.02,[k],Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Drowning or asphyxiation,1,1,0,[k],[k],0,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities","Exposure to, or contact with, a harmful substance",16,3,13,[k],[k],[k],Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Exposure to fire,6,1,5,[k],[k],[k],Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Exposure to an explosion,3,1,2,[k],[k],[k],Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Contact with electricity or electrical discharge,6,0,6,[k],0,[k],Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Injured by an animal,7,1,6,[k],[k],[k],Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Acts of violence,13,4,9,[k],[k],[k],Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Other kind of accident,185,29,156,0.08,0.05,0.09,Non-Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,F,Construction,Contact with moving machinery,290,63,227,0.06,0.04,0.07,Non-Fatal,2014/15,Construction
2014/15,F,Construction,"Struck by moving, including flying/falling, object",581,227,354,0.11,0.13,0.11,Non-Fatal,2014/15,Construction
2014/15,F,Construction,Struck by moving vehicle,105,50,55,0.02,0.03,0.02,Non-Fatal,2014/15,Construction
2014/15,F,Construction,Strike against something fixed or stationary,114,39,75,0.02,0.02,0.02,Non-Fatal,2014/15,Construction
2014/15,F,Construction,"Injured while handling, lifting or carrying",1097,133,964,0.21,0.07,0.29,Non-Fatal,2014/15,Construction
2014/15,F,Construction,"Slips, trips or falls on same level",1204,501,703,0.23,0.28,0.21,Non-Fatal,2014/15,Construction
2014/15,F,Construction,Falls from a height,995,610,385,0.19,0.34,0.11,Non-Fatal,2014/15,Construction
2014/15,F,Construction,Trapped by something collapsing/overturning,30,14,16,[k],[k],[k],Non-Fatal,2014/15,Construction
2014/15,F,Construction,Drowning or asphyxiation,2,2,0,[k],[k],0,Non-Fatal,2014/15,Construction
2014/15,F,Construction,"Exposure to, or contact with, a harmful substance",49,8,41,[k],[k],0.01,Non-Fatal,2014/15,Construction
2014/15,F,Construction,Exposure to fire,26,5,21,[k],[k],[k],Non-Fatal,2014/15,Construction
2014/15,F,Construction,Exposure to an explosion,5,3,2,[k],[k],[k],Non-Fatal,2014/15,Construction
2014/15,F,Construction,Contact with electricity or electrical discharge,51,11,40,[k],[k],0.01,Non-Fatal,2014/15,Construction
2014/15,F,Construction,Injured by an animal,6,1,5,[k],[k],[k],Non-Fatal,2014/15,Construction
2014/15,F,Construction,Acts of violence,7,2,5,[k],[k],[k],Non-Fatal,2014/15,Construction
2014/15,F,Construction,Other kind of accident,588,117,471,0.11,0.07,0.14,Non-Fatal,2014/15,Construction
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Contact with moving machinery,188,34,154,0.02,0.02,0.02,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Struck by moving, including flying/falling, object",1582,299,1283,0.16,0.14,0.17,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Struck by moving vehicle,229,69,160,0.02,0.03,0.02,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Strike against something fixed or stationary,327,84,243,0.03,0.04,0.03,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Injured while handling, lifting or carrying",2486,223,2263,0.26,0.1,0.3,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Slips, trips or falls on same level",2931,953,1978,0.3,0.44,0.26,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Falls from a height,695,307,388,0.07,0.14,0.05,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Trapped by something collapsing/overturning,32,13,19,[k],[k],[k],Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Drowning or asphyxiation,1,1,0,[k],[k],0,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Exposure to, or contact with, a harmful substance",58,5,53,[k],[k],[k],Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Exposure to fire,24,4,20,[k],[k],[k],Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Exposure to an explosion,5,1,4,[k],[k],[k],Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Contact with electricity or electrical discharge,18,0,18,[k],0,[k],Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Injured by an animal,22,0,22,[k],0,[k],Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Acts of violence,201,47,154,0.02,0.02,0.02,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other kind of accident,931,108,823,0.1,0.05,0.11,Non-Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,H,Transportation and storage [Note 2],Contact with moving machinery,154,41,113,0.02,0.02,0.01,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],"Struck by moving, including flying/falling, object",1083,201,882,0.11,0.1,0.11,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Struck by moving vehicle,481,132,349,0.05,0.07,0.04,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Strike against something fixed or stationary,421,86,335,0.04,0.04,0.04,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],"Injured while handling, lifting or carrying",2772,169,2603,0.28,0.08,0.33,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],"Slips, trips or falls on same level",2848,820,2028,0.29,0.41,0.26,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Falls from a height,924,426,498,0.09,0.21,0.06,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Trapped by something collapsing/overturning,39,13,26,[k],[k],[k],Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Drowning or asphyxiation,1,1,0,[k],[k],0,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],"Exposure to, or contact with, a harmful substance",37,3,34,[k],[k],[k],Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Exposure to fire,5,2,3,[k],[k],[k],Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Exposure to an explosion,1,0,1,[k],0,[k],Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Contact with electricity or electrical discharge,9,1,8,[k],[k],[k],Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Injured by an animal,82,5,77,[k],[k],[k],Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Acts of violence,104,9,95,0.01,[k],0.01,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,H,Transportation and storage [Note 2],Other kind of accident,830,92,738,0.08,0.05,0.09,Non-Fatal,2014/15,Transportation and storage [Note 2]
2014/15,I,Accommodation and food service activities,Contact with moving machinery,70,11,59,0.01,[k],0.01,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,"Struck by moving, including flying/falling, object",373,74,299,0.07,0.06,0.07,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Struck by moving vehicle,28,6,22,[k],[k],[k],Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Strike against something fixed or stationary,159,43,116,0.03,0.04,0.03,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,"Injured while handling, lifting or carrying",1005,80,925,0.19,0.07,0.22,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,"Slips, trips or falls on same level",1709,622,1087,0.32,0.54,0.26,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Falls from a height,359,146,213,0.07,0.13,0.05,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Trapped by something collapsing/overturning,12,2,10,[k],[k],[k],Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Drowning or asphyxiation,1,0,1,[k],0,[k],Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,"Exposure to, or contact with, a harmful substance",145,13,132,0.03,0.01,0.03,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Exposure to fire,34,2,32,[k],[k],[k],Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Exposure to an explosion,2,1,1,[k],[k],[k],Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Contact with electricity or electrical discharge,49,4,45,[k],[k],0.01,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Injured by an animal,9,0,9,[k],0,[k],Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Acts of violence,121,37,84,0.02,0.03,0.02,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Other kind of accident,1291,105,1186,0.24,0.09,0.28,Non-Fatal,2014/15,Accommodation and food service activities
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Contact with moving machinery,105,21,84,0.03,0.02,0.03,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Struck by moving, including flying/falling, object",295,78,217,0.09,0.08,0.09,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Struck by moving vehicle,35,11,24,0.01,0.01,[k],Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Strike against something fixed or stationary,143,40,103,0.04,0.04,0.04,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Injured while handling, lifting or carrying",637,40,597,0.19,0.04,0.25,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Slips, trips or falls on same level",1214,498,716,0.36,0.52,0.3,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Falls from a height,367,168,199,0.11,0.17,0.08,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Trapped by something collapsing/overturning,9,4,5,[k],[k],[k],Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Exposure to, or contact with, a harmful substance",25,2,23,[k],[k],[k],Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Exposure to fire,4,1,3,[k],[k],[k],Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Exposure to an explosion,0,0,0,0,0,0,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Contact with electricity or electrical discharge,20,3,17,[k],[k],[k],Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Injured by an animal,75,16,59,0.02,0.02,0.02,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Acts of violence,77,18,59,0.02,0.02,0.02,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Other kind of accident,361,62,299,0.11,0.06,0.12,Non-Fatal,2014/15,Information and communication; financial and insur
2014/15,O,Public administration and defence; compulsory social security,Contact with moving machinery,18,5,13,[k],[k],[k],Non-Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,"Struck by moving, including flying/falling, object",249,48,201,0.06,0.05,0.06,Non-Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Struck by moving vehicle,67,15,52,0.02,0.02,0.02,Non-Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Strike against something fixed or stationary,166,53,113,0.04,0.05,0.04,Non-Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,"Injured while handling, lifting or carrying",621,42,579,0.15,0.04,0.18,Non-Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,"Slips, trips or falls on same level",1127,398,729,0.27,0.41,0.23,Non-Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Falls from a height,210,98,112,0.05,0.1,0.04,Non-Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Trapped by something collapsing/overturning,7,2,5,[k],[k],[k],Non-Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2014/15,Public administration and defence; compulsory soci
