Year,Industry_Section,Industry,Accident_Kind,Fatal_Workers,Fatal_Employees,Fatal_SelfEmployed,Severity,Year_Clean,Industry_Short
2014/15,A,"Agriculture, forestry and fishing [Note 8]",Other kind of accident,3,1,2,Fatal,2014/15,"Agriculture, forestry and fishing [Note 8]"
2014/15,B,Mining and quarrying,Contact with moving machinery,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,"Struck by moving, including flying/falling, object",0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Struck by moving vehicle,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,"Slips, trips or falls on same level",0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Falls from a height,1,1,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Trapped by something collapsing/overturning,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Drowning or asphyxiation,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Exposure to fire,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Exposure to an explosion,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Injured by an animal,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Acts of violence,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,B,Mining and quarrying,Other kind of accident,0,0,0,Fatal,2014/15,Mining and quarrying
2014/15,C,Manufacturing,Contact with moving machinery,5,5,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,"Struck by moving, including flying/falling, object",2,1,1,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Struck by moving vehicle,1,1,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,"Slips, trips or falls on same level",0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Falls from a height,6,4,2,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Trapped by something collapsing/overturning,4,4,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Drowning or asphyxiation,0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Exposure to fire,0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Exposure to an explosion,0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Injured by an animal,0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Acts of violence,0,0,0,Fatal,2014/15,Manufacturing
2014/15,C,Manufacturing,Other kind of accident,0,0,0,Fatal,2014/15,Manufacturing
2014/15,D,"Electricity, gas, steam and air conditioning supply",Contact with moving machinery,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply","Struck by moving, including flying/falling, object",0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Struck by moving vehicle,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Strike against something fixed or stationary,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply","Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply","Slips, trips or falls on same level",0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Falls from a height,1,1,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Trapped by something collapsing/overturning,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Drowning or asphyxiation,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply","Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Exposure to fire,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Exposure to an explosion,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Injured by an animal,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Acts of violence,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,D,"Electricity, gas, steam and air conditioning supply",Other kind of accident,0,0,0,Fatal,2014/15,"Electricity, gas, steam and air conditioning suppl"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Contact with moving machinery,1,1,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities","Struck by moving, including flying/falling, object",0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Struck by moving vehicle,1,1,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Strike against something fixed or stationary,0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities","Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities","Slips, trips or falls on same level",0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Falls from a height,0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Trapped by something collapsing/overturning,0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Drowning or asphyxiation,1,1,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities","Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Exposure to fire,0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Exposure to an explosion,0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Contact with electricity or electrical discharge,1,0,1,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Injured by an animal,0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Acts of violence,0,0,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,E,"Water supply; sewerage, waste management and remediation activities",Other kind of accident,1,1,0,Fatal,2014/15,"Water supply; sewerage, waste management and remed"
2014/15,F,Construction,Contact with moving machinery,1,0,1,Fatal,2014/15,Construction
2014/15,F,Construction,"Struck by moving, including flying/falling, object",2,2,0,Fatal,2014/15,Construction
2014/15,F,Construction,Struck by moving vehicle,4,4,0,Fatal,2014/15,Construction
2014/15,F,Construction,Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Construction
2014/15,F,Construction,"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Construction
2014/15,F,Construction,"Slips, trips or falls on same level",0,0,0,Fatal,2014/15,Construction
2014/15,F,Construction,Falls from a height,20,14,6,Fatal,2014/15,Construction
2014/15,F,Construction,Trapped by something collapsing/overturning,6,4,2,Fatal,2014/15,Construction
2014/15,F,Construction,Drowning or asphyxiation,1,0,1,Fatal,2014/15,Construction
2014/15,F,Construction,"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Construction
2014/15,F,Construction,Exposure to fire,0,0,0,Fatal,2014/15,Construction
2014/15,F,Construction,Exposure to an explosion,0,0,0,Fatal,2014/15,Construction
2014/15,F,Construction,Contact with electricity or electrical discharge,1,0,1,Fatal,2014/15,Construction
2014/15,F,Construction,Injured by an animal,0,0,0,Fatal,2014/15,Construction
2014/15,F,Construction,Acts of violence,0,0,0,Fatal,2014/15,Construction
2014/15,F,Construction,Other kind of accident,0,0,0,Fatal,2014/15,Construction
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Contact with moving machinery,0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Struck by moving, including flying/falling, object",3,2,1,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Struck by moving vehicle,1,1,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Slips, trips or falls on same level",0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Falls from a height,2,0,2,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Trapped by something collapsing/overturning,2,2,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Drowning or asphyxiation,1,1,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Exposure to fire,0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Exposure to an explosion,0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Contact with electricity or electrical discharge,1,1,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Injured by an animal,0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Acts of violence,0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other kind of accident,0,0,0,Fatal,2014/15,Wholesale and retail trade; repair of motor vehicl
2014/15,H,Transportation and storage [Note 9],Contact with moving machinery,2,2,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],"Struck by moving, including flying/falling, object",4,2,2,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Struck by moving vehicle,5,1,4,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],"Slips, trips or falls on same level",1,1,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Falls from a height,2,2,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Trapped by something collapsing/overturning,0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Drowning or asphyxiation,1,1,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Exposure to fire,0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Exposure to an explosion,0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Contact with electricity or electrical discharge,1,1,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Injured by an animal,0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Acts of violence,0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,H,Transportation and storage [Note 9],Other kind of accident,0,0,0,Fatal,2014/15,Transportation and storage [Note 9]
2014/15,I,Accommodation and food service activities,Contact with moving machinery,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,"Struck by moving, including flying/falling, object",0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Struck by moving vehicle,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,"Slips, trips or falls on same level",0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Falls from a height,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Trapped by something collapsing/overturning,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Drowning or asphyxiation,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Exposure to fire,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Exposure to an explosion,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Injured by an animal,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Acts of violence,0,0,0,Fatal,2014/15,Accommodation and food service activities
2014/15,I,Accommodation and food service activities,Other kind of accident,1,1,0,Fatal,2014/15,Accommodation and food service activities
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Contact with moving machinery,0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Struck by moving, including flying/falling, object",2,2,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Struck by moving vehicle,1,1,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Slips, trips or falls on same level",1,1,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Falls from a height,3,3,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Trapped by something collapsing/overturning,1,1,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Drowning or asphyxiation,2,2,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Exposure to fire,1,1,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Exposure to an explosion,0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Injured by an animal,0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Acts of violence,0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Other kind of accident,0,0,0,Fatal,2014/15,Information and communication; financial and insur
2014/15,O,Public administration and defence; compulsory social security,Contact with moving machinery,1,1,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,"Struck by moving, including flying/falling, object",0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Struck by moving vehicle,2,2,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,"Slips, trips or falls on same level",0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Falls from a height,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Trapped by something collapsing/overturning,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Drowning or asphyxiation,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Exposure to fire,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Exposure to an explosion,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Injured by an animal,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Acts of violence,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,O,Public administration and defence; compulsory social security,Other kind of accident,0,0,0,Fatal,2014/15,Public administration and defence; compulsory soci
2014/15,P,Education,Contact with moving machinery,0,0,0,Fatal,2014/15,Education
2014/15,P,Education,"Struck by moving, including flying/falling, object",0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Struck by moving vehicle,0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Education
2014/15,P,Education,"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Education
2014/15,P,Education,"Slips, trips or falls on same level",0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Falls from a height,1,1,0,Fatal,2014/15,Education
2014/15,P,Education,Trapped by something collapsing/overturning,0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Drowning or asphyxiation,1,0,1,Fatal,2014/15,Education
2014/15,P,Education,"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Exposure to fire,0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Exposure to an explosion,0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Injured by an animal,0,0,0,Fatal,2014/15,Education
2014/15,P,Education,Acts of violence,1,1,0,Fatal,2014/15,Education
2014/15,P,Education,Other kind of accident,0,0,0,Fatal,2014/15,Education
2014/15,Q,Human health and social work activities,Contact with moving machinery,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,"Struck by moving, including flying/falling, object",0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Struck by moving vehicle,1,1,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Strike against something fixed or stationary,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,"Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,"Slips, trips or falls on same level",0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Falls from a height,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Trapped by something collapsing/overturning,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Drowning or asphyxiation,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,"Exposure to, or contact with, a harmful substance",0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Exposure to fire,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Exposure to an explosion,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Contact with electricity or electrical discharge,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Injured by an animal,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Acts of violence,1,1,0,Fatal,2014/15,Human health and social work activities
2014/15,Q,Human health and social work activities,Other kind of accident,0,0,0,Fatal,2014/15,Human health and social work activities
2014/15,R-U,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Contact with moving machinery,1,1,0,Fatal,2014/15,"Arts, entertainment and recreation; other service "
2014/15,R-U,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies","Struck by moving, including flying/falling, object",2,2,0,Fatal,2014/15,"Arts, entertainment and recreation; other service "
2014/15,R-U,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Struck by moving vehicle,0,0,0,Fatal,2014/15,"Arts, entertainment and recreation; other service "
2014/15,R-U,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Strike against something fixed or stationary,0,0,0,Fatal,2014/15,"Arts, entertainment and recreation; other service "
2014/15,R-U,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies","Injured while handling, lifting or carrying",0,0,0,Fatal,2014/15,"Arts, entertainment and recreation; other service "
